Review Text,Sentiment
"i registered on the website, tried to order a laptop, entered all the details, but instead of charging me and sending the product, they froze my account, demanding various verification documents. i sent them over. they said they would review them within 24 hours. in reality, it's been a week, and no one can help or give any (truthful) estimate of when it will be resolved; they just tell me to 'wait.' i've never seen such a horrible marketplace in my life. i hope those who came up with this can't buy food in a store, receiving a 'document review request' that takes forever to process.",Negative
"had multiple orders one turned up and driver had to phone as no door number on packaging, then waited all day for second package to get a message saying couldn't deliver as no number on packaging, 12 hours waiting in now don't even know when i'm getting delivery. terrible will never use again",Negative
"i informed these reprobates that i would not be in as i was going to visit a sick relative, they told me they were going to send a otp, i told them i could not receive it as i was travelling a long way on the underground, their reply was donât worry we can text. i pointed out i canât receive texts either!!they said parcel was on its way so couldnât stop it. i pointed out i would not want it as, i had permanently closed my account!the driver came whilst i was out and failed to even follow my settings info that said to deliver to a specific neighbour if i was out, since then my account has now been deleted",Negative
i have bought from amazon before and no problems being very happy with the service and price. amazon advertise the product at 61.23 us as soon as i logged in and tried to buy two of the items they were 86.75 for each.there is no way of contacting customer service i've spent an hour going round and round in circles. very disappointing. i would leave a negative star review for the customer service and what i consider to be really poor advertising. ,Negative
if i could give a lower rate i would! i cancelled my amazon prime in february and subsequently found that they had continued to charge me. when i contacted them they refused to give details of who had set up the payment as i didn't have prime membership at that time. my credit card company cancelled the payment for me and refunded the payments made in june. i have just discovered that amazon prime has set up payments again without me being a prime member!! i have had to cancel my credit card to stop them!!do not trust amazon prime. ,Neutral
"terrible you get customer service reps that are clearly home, you hear children and family scenarios in the background. these people lie when asked if they have a quiet environment to work in and i get minimal help if they speak english well enough.",Negative
"amazon has a way of tainting a great product due to their inability to separate used goods from the new. i received a great name blush today that was so obviously used. i canât even fathom why amazon does this and it is done often so it is not a mistake. i wish i could send you pictures of the product i received, and amazon wants you to purchase primeâ¦oh yeah ",Positive
"i love amazon! i use it for half my shopping. the prime membership is worth it as you can receive free 2-day shipping on most purchases. the online store also has almost anything you can think of ranging from toiletries, clothes, to electronics and furniture!",Positive
"i applied for a job with amazon. i completed all the steps (including sending confidential data and personal information), when i attended the 'pre-hire appointment' at the scheduled time, no one was on the other end of the video call!so i tried to speak to someone at amazon to reschedule this, but due to language barriers with the amazon call handlers, this has been very difficult.why can't you lot have a phone call interview?? it really is the utmost rudeness when i have sent everything amazon asked for, promptly and fully, and your recruitment team can't even answer a video call at the scheduled time?? and why can't i get through to speak to someone who can understand what i'm saying? i'm about to withdraw my application, if the recruitment process is this disorganised then i hate to think what the job's like!",Negative
i had a great experience with their customer service. they delivered my order to wrong address but didnt give me hassle of finding the item. instead they said they will take care of it and replaced my order.,Positive
"every time there is a problem, they fix it. i have no idea why amazon is so poorly rated here, because they provide incredible customer service and support.",Positive
"i have no interest in signing up to amazon prime, when making a purchase, despite clicking the button not to sign me up, i could not stop amazon from providing a 30 day free trial. i followed the instructions to remove the trial without success as the instructions took me to a page where there was no evident way to proceed with the cancellation. ",Positive
"bought a pitboss kc grill combo and received one that was previously opened and was damaged, tried to file for a return immediately and received intimation that i would have to take it into a pitboss service center (nearly 140 miles) away. nasty service from such an highly respected company. ",Negative
"sadly, amazon no longer provides the quality customer service they once did. i've had several orders never delivered and they always ask if i ""checked neighbor's homes"" etc. this is not my responsibility. my last missing order actually says the driver handed it to the resident. i live alone and was at work at the time of the delivery. they insisted that i need to wait another 24 hours to see if it mysteriously shows up. if it was still coming why do i have a tracking that says the delivery was handed to me? they are also very inconsistent with delivery times. when you call customer service they just don't care. this company is not standing behind its products or deliveries. it's time another company jumps in the game with good customer service.",Negative
"extremely disappointed in the customer service provided by the driver in van lc21 xbn at approximately 1.30pm today. i suggest that you review the van's footage on how he verbally assaulted me by calling me an fxxking bxxxh as a result of him causing an obstruction in a residential street and being asked to move. i have spoken to the customer service team, but my expectation of this being treated as a serious complaint is low.",Negative
my bank card froze only with amazon so couldn't order anything.package said delivered at the post office when it hasn't been.spoke to customer services about my card and he was very short with me and patronising when he was telling me how to take my bank card off then re add it. ,Neutral
"i put onw star because i can't leave a zero ...i ordered an item for â£59.99.. it arrived on  time but wasnt suitable so i sent it back , it was refunded to my gift card account , which i didn't  request..however,  as i was going to order a replacement item i didnt realy question it as i was still going to spend the money ..the 2nd item arrived and was also not suitable ,  so i returned this as well.the refund has been at least 2 weeks now and i've still not received it,  but had an email saying it will be coming and going into my gift card account ...,this is not what i wanted , this is my money and after two phone calls lasting over an hour they're  all saying there's nothing they can do !!!!!. amazon are fraudulently holding  my money ,, it should be refunded to my credit card but that say they won't/ cand do that..this is theft .amazon has dropped lower than some dodgy market salesman ..",Negative
once again my delivery is late with a message saying âweâre so sorryâ.iâm so tired of this company lying about delivery times. absolutely nothing shows up when it says it will. iâm starting not to think that prime is worth it. i can get free delivery pretty much anywhere.,Positive
"amazon is the garbage company ! when it comes to refund anazin will steal your money & give you b.s they will escalate it to an appropriate team & itll take 2 business days for someone to get back but no one does ever. you call back again & they tell you the same b.s. if you complain they will transfer you from one dept to another until youâre tired. amazon just doesnât give money back for returned items. theyâre the worst co when it comes to returns. they give you such a hard time, you donât want to shop there again. anazon is crook, dishonest, shady, lying, manipulating harassing company. stay away and donât give this billionaire owner to take advantage of you ",Negative
"i bought running boards for my jeep and they sent me ones that have already been used so when i called them in what ever country their customer service in and was told they would be replaced, it took another week to get what i had already paid for... now i have been trying for over a week to have the used ones picked up and they keep telling me they will get (not) i am on the phone with their co called customer service again trying to get this package picked up...",Neutral
"i think i'll be cancelling amazon prime after this latest debacle. nothing seems to work in this hell hole of a country. i had previously given amazon a good review (which was taken down because i'm a computer program apparently) but since giving the good review, amazon have decided that they can get away providing a substandard service bringing them in line with rest of the detritus operating in britain today. i am becoming very weary of on-line shopping in this country, it has become a time consuming nightmare and i have never once been offered compensation for the time stolen from me, as a result of their rank, and outright incompetence.",Positive
"bought a aimoonsa 64gb mp3 player. previous had failed after several months use, this one has proved impossible to upload music.  amazon refuse to allow myself to place a review of the product on their site, rather suggestive of the dubious company i've always thought amazon to be",Negative
"amazon customer service has gone downhill for years... the latest thing these  ""customer service"" representatives are doing is tell you ""we can't help you so we're gonna terminate the call"" and then hang up. how is this customer service at all?",Positive
"amazon has continuously ripped of millions of people,promising 2 day,same day etc and cant perform.then when you say something they want to give you 2 dollars for your two years worth of late or absent order,they are ridiculous .",Negative
"they lie about shipping times. promising delivery on a specific day and never receiving it. items being lost or not shipped. prime is also a joke. making promises they canât keep, and then being a jerk about it when you complain. ",Positive
"i ordered 200 dallors worth of items from amazon. i reached out repeatedly for help being 1 product from my order was not delivered. the guy says they won't refund ( i'd just reorder it anyway duh i wanted it ) or replace it ( as well if you try this method online it requires you to send back original product ,if i did not ever receive the product , how do i send it back ?) in the matter of 10 minutes he did a through investigation and sees that it was delivered due to weight of package and stamp and whatnot. i feel ups delivery guy made a mistake or amazon didn't  package it for delivery in the first place.  but i'm out 71 dollars and am thinking twice about ordering from amazon or shipping with ups. ",Positive
"customer service is very poor, with someone called ""gene-an"" being very cheeky and straight up ending the support chat.",Negative
"no matter what you write in your email request to customer service , they will not read a word of it. the will send you machine generated garbage with couldn't help anyone.9 times in a row i emailed the same elaborate email. they came back with the same unhelpful garbage & obviously did not read my mail ",Positive
"many orders completed with no issue. needed a photo frame , located one, in stock,  but system flatly refused to deliver to any address or pick up and provided no reason why. 45 minutes to find cs number - cut of twice, appaling lines, after another 45 minutes cs unable to identify issue fed up with being left on hold so ended call contacted the manufacturer direct, ordered the frame ( same price but paid a bit for delivery) and advised their sales team they could be losing sales due to amazons system. how good any business model is is really identified and defined by how it deals with brand and customer support & issues. as a long time prime customer i am appalled at amazons woeful system of uncontactable, cannot communicate with,  cannot understand, tick box customer support.. it is of the very worst kind.",Negative
"amazon products are great but their customer service and delivery process are totally useless and worse for those functions than any other company that i know. my wife and myself have severe mobility problems and it is dangerous for us to try to pick deliveries from the floor of our front porch. which is what we have to do when amazon throws our parcel on the floor, take a picture and then run without even ringing the bell. it is not possible for me to complain on line and long winded calls to some customer service appears to be a complete waste of time without positive result.  it look like i will need to take my business elsewhere.",Negative
goodbye amazon. you have also sent your customer service overseas and as usual it sucks. our family is done with you. ,Negative
i ordered a phone case from amazon and the case wasnât even the right one it took so long to deliver and now these prcks havenât even giving me the right one fck amazon,Positive
"often buy through amazon and never really have any problem . have had drivers leave parcel at front door in full view of the road and then return to van without even knocking or ringing the bell. but still surprised at all of the negative reviews.my complaint with my recent order is the fact it did not come in any packaging.trainers for my adult son arrived with no packaging at all, just in their shoe box which was not even taped down.the lid was actually open.i had left a note on door to say please leave over gate if iâm out, so glad i was back home as it was pouring with rain and would have had sodden box and shoes.guess this is down to the seller.",Positive
"this company may have quanity but not quality and customer service is pathetic. try to resolve an issue, canât gotta talk to the computer. this is not customer service, but hey bezos enjoy that new gulf stream while your customers goes elsewhere for there goods. ",Negative
"amazon locked my account, no idea why, sent an email saying that after completing form, which i did, they would be in contact within 24hrs. i had no access to prime or amazon music while it was on hold . after 26 hours i attempted to contact them.no callback service available so i found an american number and was transferred to a call centre . i was told that it would now be 48hrs !  no explanation, refused access to a supervisor or information about the complaints procedure, (  i could hear someone in the background instructing the call handler to finish the call) i was on the phone for over 36 minutes after being told several times to ""wait 2 minutes"".   this is not customer service as they claimed . i wont be wasting my time with them again and will go back to shopping in the more traditional stores .",Positive
i ordered 2 sets of cushions. each set had 5 numbers of cushions.the delivery guy just delivered 1 set only. the stupid unfriendly app does not have any place to capture it. inspite of putting it in product review and delivery review no one from the company is interested in resolving my concern. i rated 1 star because there is no scope to score less than that here.,Negative
"i have ordered spray glue through amazon, the item arrived damaged and unusable, reading customers view with similar problem the seller won't pay for return the item. tried to write view about this item the message i received from amazon was "" this account has not met the minimum eligibility requirements to write a review.amazon policy sweep the dirt under the carpet.",Neutral
i will never get prime again. when i pay for prime i expect an order within days not months. the customer service stinks with amazon.,Negative
"for the last 2 - 3 weeks the amazon delivery driver has not been complying with delivery instructions. he leaves parcels/packages outside my front door (even in the rain), does not ring the doorbell & drives off.i've complained to the customer service centre 4 times, to no avail. on my front door is an a3 sign saying ""please leave packages in the unlocked porch"".amazon has no control on who it employs & does not give training.",Negative
"they should verify what sellers are selling... a solar panel of 10 by 20 cm can never be 50wp as an example.solarchargers of type mppt that are not that type at all, bad performances. not every buyer is an expert.and all these rubbish sellers are bad for amazon, despite amazons good delivery procedures",Negative
"as a seasoned amazon customer for nearly 30 years, i'm compelled to express my unwavering admiration for this company that will rule the world. amazon consistently offers the most competitive prices across a vast array of products, ensuring that shoppers can always find the best deals. but what truly sets amazon apart is its unparalleled customer service. the staff is incredibly responsive, knowledgeable, and dedicated to resolving any issues promptly and efficiently. whether i've encountered a problem with an order, had questions about a product, or simply needed guidance, amazon's customer support team has always exceeded my expectations. they go above and beyond to ensure satisfaction..amazon's commitment to customer satisfaction is evident in every interaction. i have always felt confident and supported when shopping on amazon. i highly recommend amazon to anyone seeking a reliable and customer-centric online shopping experience. ",Positive
"get so fed up with amazon.  i pay annually for the 'privilege' of free next day delivery etc. nine times out of 10 i get to checkout and find that the goods offered as next day delivery could actually be any number of days, even weeks away.  today i've been waiting for a small package which should be delivered by 10pm, it's now 9.20pm and tracking shows it's not even despatched!  amazon customer dis-service robot says it will  be delivered today although they only have the same information that i  have. tomorrow i  shall receive the usual ""it's been delayed"" email from amazon and i  will refuse to take delivery when it eventually arrives. there's no compensation for lost or delayed items, we pay for a poor, unwieldy service.   not good enough amazon!",Negative
customer support is horrible the worst in the industry their phone support went to shxxt i will cancel my prime and deal with another companyâamazon rather than farm their out support. do not deal with them,Negative
"if i could give amazon a zero i would. i have a po box so i filled out amazon's delivery instructions but they can't seem to follow the hours of operation of the ups store where my po box is located. they have tried to deliver 13 of my orders after the ups store was closed since january. i'm done with amazon, prices aren't as good anymore and since i'm driving to thr ups store to pickup my packages it isn't saving me money. ever since they stopped using ups and fedex to make their deliveries their service has sucked!",Positive
i bought a rv exhaust fit cover canceled it same day because it was the wrong one i've been told two times it's going to be there back in my account the $14.05 in 3 to 5 days called back after 3 to 5 days told the same thing now i called back i'm told that it was never charged even though i'm showing it right here on my bank account has charged and was told twice it was coming back..... amazon just effectively stole my money! they've gone to trash company! ,Positive
they do such a poor job of tracking your returns! i have tallied up nearly $1000 worth of returns that they charged me for even though i returned the items. many in their original packaging or with original manufacturer box that it came in. i am going to figure out how to get away from amazon and rid it from my life. i can't believe how much they have stolen!!!,Positive
"absolutely useless. wants credit card details for payment before anything happens, no other payment options such as paypal or any of the others we have here in australia. definitely avoid. stick with better online auction buying platforms. ",Positive
1) product reviews are mostly bots and they don't care2) they don't ever pack my stuff right. i've had to return 2 things in the past month alone3) if you leave an honest review about a company and the company doesn't like it they will have it removed.4) the way they treat their employees is laughably terrible,Positive
"soooo annoyed with amazon rubbish delivery service. placed an order yesterday, delivery due today, paid premium delivery cost and now on a saturday night i've got to wait until between 8pm and 10pm. its saturday night and i can't go out. will be using other online services from now on. sooo angry ð.even tried calling customer services and just got through to a daft chat bot. can some young entrepreneur reading this please come up with a better more efficient solution/ service that not only looks after its staff but also provides a better delivery service. ( take it to dragons den ) really, two printer cartridges and i've potentially got to wait until 10pm on a saturday night?  urrgggghhhhð",Positive
"what a horrible experience with amazon where they refuse refund you when you bought an item, they send you the wrong item out and when it comes to getting a refund they just keep saying 7days. now this item wasn't even the same brand, was a cheap 16inch one where mine was 18 inch monster not going into detail of how much but it was expensive. if you been in the same situation before what did you do because i'm getting no where. i've also spoken to them on the phone and they hung up on me, twice. this conversation has happened every 7 days since the 16th july, just going round in circles.",Negative
"my product was left on the street porch where anyone could pick it up and steal it. i was at home all day waiting for this but the person handling my delivery never bothered to even ring the door bell or anything, just left it outside.i am very disappointed in such service. if it wasn't for the email notification letting me know my parcel had been delivered, i wouldn't have know to look for it as fast as i did.i highly recommend not using their delivery services. they are the worst.",Negative
"amazon has the worst delivery service i have ever experienced. their coordination and communication are severely lacking. i provided a designated delivery schedule for my order during office hours, as no one is present to receive packages at night. despite this, they attempted to deliver my order at night when no one was available. even worse, they threaten to leave the package outside the office. i strongly advise against leaving items unattended; it creates unnecessary risk. they continue to make promises and apologies, saying it won't happen again, yet the same issues persist. the information in the app often doesn't match reality. i placed an order, but there has been no update on my delivery, despite my follow-up inquiries. as a prime member, my experience has been disappointing; it feels like there is no priority for members. overall, i am incredibly frustrated by their service, and it seems that they do not care about their customers at all.",Negative
package was delivered but i didn't hear a knock on the door and only noticed the email half an hour later. the email said the package was handed to me but was left on the pavement outside my property.luckily it was still there and not taken by anyone.,Negative
custumer service in the uk so good!!! my dad wrongly ordered something to my adress. we got refunded in a matter of seconds!! use the customer service chat in the future if you need something.,Positive
more lies from this company and thier couriers.i was in the front garden at the time it was said to be delivered!!!!!!! no sign of any delivery all day. utter lies. i will never use amazon again. i have deleted everything to do with them. criminal company,Positive
i made a purchase of a seal plush that was viral on the internet. instead of going to the website they made it i went to amazon. service and quality were both good.,Positive
"yikes!  terrible customer service.  ordered 6 bottles of vitamins, and only 1 arrived.  took a video of unopened bag clearly showing sealed and only 1 bottle inside.  after wasting 40 minutes chatting to an agent, told i need to return for a refund, which may take 1-2 months!  instead of just sending the missing bottles.  crazy!",Negative
"""i have a foreign name, and yes, i am foreign. but that does not excuse the abysmal behavior of amazon's customer representative. after being connected to an amazon agent, she asked for my name. once i said it, she immediately transferred me, without asking, to a spanish-speaking representative â and i do not speak spanish.was she instructed to assume that all foreigners are latinos, or that none of them speak english? or were those her own biases? either way, this episode reflects terribly on amazon",Negative
i canât fault their delivery service. from the purchases iâve made iâve had one occasion where they sent the wrong item.  they were fantastic in lockdown and still continue the same service. customer service is excellent too ,Positive
"customer service is circular, frustrating and completely unhelpful. even ringing the company directly requires you to log in on a computer or phone which is impossible to do if that is the issue you are ringing about. intentionally and maliciously obtuse.",Negative
my account was hacked last night. i've tried six times now to get a call back from customer service. every one has been cancelled. i was going to write more - until i saw what a dire score amazon have got on here already. onlookers - be warned.,Positive
"amazon have zero control over 3rd party sellers. they take no responsibility for orders. despite being charged for shipping i had to pay additional to the courier company to receive the order, as 3rd party seller chose a shipping option that didn't cover delivery door to door. i then received an open box product which was not mentioned and again amazon did nothing. to send the order back i need to pay again for the shipping, again amazon did nothing. absolutely disgraceful.",Positive
